,coefs,coefs_with_stopword
meal,-0.20631203821493754,-0.21991585914815806
crab,-0.20593197382825995,-0.26880806584067124
golly,-0.20526750612218875,-0.1675364350718756
coconuts,-0.2049020792092713,-0.16743996543265455
can,-0.20488755148058618,
doodly,-0.20425326717892872,-0.3287636814219501
goat,-0.20343232859583402,-0.23584910137570086
tock,-0.20304020604774914,-0.21828431675881219
walls,-0.2027771069422874,-0.3570727242294652
telling,-0.20178448658537695,-0.22298660183836008
thought,-0.20155395389396924,-0.34136216710770345
must,-0.20106853177139475,
hey,-0.200657503063282,-0.027324858751603065
snuff,-0.19992849293801024,-0.21058254614905608
changes,-0.19991099535534762,-0.16445491201467255
packing,-0.199666475999872,-0.21456816686608898
de,-0.1991663435104743,
